price,date
13.3,2013-01-01
13.3,2013-01-02
13.4,2013-01-03
13.5,2013-01-04
13.4,2013-01-05
13.4,2013-01-06
13.6,2013-01-07
13.7,2013-01-08
13.8,2013-01-09
14.1,2013-01-10
14.1,2013-01-11
14.2,2013-01-12
14.1,2013-01-13
14.3,2013-01-14
14.3,2013-01-15
14.7,2013-01-16
15.5,2013-01-17
15.7,2013-01-18
15.6,2013-01-19
15.7,2013-01-20
16.8,2013-01-21
17.3,2013-01-22
17.5,2013-01-23
16.9,2013-01-24
17.4,2013-01-25
17.9,2013-01-26
17.8,2013-01-27
18.7,2013-01-28
19.5,2013-01-29
19.7,2013-01-30
20.4,2013-01-31
20.5,2013-02-01
19.6,2013-02-02
20.6,2013-02-03
20.4,2013-02-04
20.6,2013-02-05
21.2,2013-02-06
22.1,2013-02-07
22.7,2013-02-08
23.6,2013-02-09
24.0,2013-02-10
24.6,2013-02-11
25.2,2013-02-12
24.2,2013-02-13
27.2,2013-02-14
27.1,2013-02-15
27.2,2013-02-16
26.8,2013-02-17
27.0,2013-02-18
29.4,2013-02-19
29.6,2013-02-20
29.8,2013-02-21
30.3,2013-02-22
29.8,2013-02-23
29.9,2013-02-24
30.4,2013-02-25
31.1,2013-02-26
30.9,2013-02-27
33.4,2013-02-28
34.5,2013-03-01
34.3,2013-03-02
34.5,2013-03-03
36.2,2013-03-04
40.3,2013-03-05
41.0,2013-03-06
42.0,2013-03-07
44.2,2013-03-08
46.8,2013-03-09
46.0,2013-03-10
48.4,2013-03-11
44.3,2013-03-12
46.9,2013-03-13
47.2,2013-03-14
47.0,2013-03-15
47.0,2013-03-16
47.4,2013-03-17
51.6,2013-03-18
59.1,2013-03-19
64.5,2013-03-20
70.8,2013-03-21
69.9,2013-03-22
64.3,2013-03-23
71.5,2013-03-24
73.6,2013-03-25
78.5,2013-03-26
88.9,2013-03-27
86.2,2013-03-28
90.5,2013-03-29
92.2,2013-03-30
93.0,2013-03-31
104.0,2013-04-01
118.0,2013-04-02
135.0,2013-04-03
132.1,2013-04-04
142.3,2013-04-05
142.6,2013-04-06
162.3,2013-04-07
187.5,2013-04-08
230.0,2013-04-09
165.0,2013-04-10
124.9,2013-04-11
117.0,2013-04-12
93.0,2013-04-13
90.0,2013-04-14
82.4,2013-04-15
68.4,2013-04-16
93.1,2013-04-17
109.0,2013-04-18
118.5,2013-04-19
126.6,2013-04-20
119.2,2013-04-21
127.4,2013-04-22
143.5,2013-04-23
154.2,2013-04-24
141.7,2013-04-25
136.9,2013-04-26
128.0,2013-04-27
134.4,2013-04-28
144.0,2013-04-29
139.2,2013-04-30
116.4,2013-05-01
106.3,2013-05-02
98.1,2013-05-03
112.9,2013-05-04
116.0,2013-05-05
112.3,2013-05-06
109.6,2013-05-07
113.2,2013-05-08
112.8,2013-05-09
117.7,2013-05-10
115.6,2013-05-11
114.8,2013-05-12
118.0,2013-05-13
111.4,2013-05-14
114.2,2013-05-15
118.2,2013-05-16
123.5,2013-05-17
123.2,2013-05-18
122.5,2013-05-19
122.0,2013-05-20
122.9,2013-05-21
123.8,2013-05-22
126.3,2013-05-23
133.1,2013-05-24
132.0,2013-05-25
133.5,2013-05-26
129.8,2013-05-27
129.0,2013-05-28
132.3,2013-05-29
128.8,2013-05-30
128.8,2013-05-31
129.3,2013-06-01
122.5,2013-06-02
120.7,2013-06-03
121.4,2013-06-04
121.9,2013-06-05
119.0,2013-06-06
111.0,2013-06-07
107.9,2013-06-08
100.4,2013-06-09
106.3,2013-06-10
109.0,2013-06-11
108.8,2013-06-12
103.9,2013-06-13
100.0,2013-06-14
99.8,2013-06-15
99.9,2013-06-16
101.9,2013-06-17
107.3,2013-06-18
108.3,2013-06-19
111.3,2013-06-20
109.5,2013-06-21
108.2,2013-06-22
107.9,2013-06-23
102.1,2013-06-24
103.3,2013-06-25
104.0,2013-06-26
101.7,2013-06-27
94.7,2013-06-28
95.0,2013-06-29
97.5,2013-06-30
84.6,2013-07-01
87.7,2013-07-02
76.9,2013-07-03
77.7,2013-07-04
66.3,2013-07-05
66.8,2013-07-06
72.5,2013-07-07
74.6,2013-07-08
74.2,2013-07-09
84.5,2013-07-10
91.2,2013-07-11
88.5,2013-07-12
91.4,2013-07-13
90.4,2013-07-14
93.1,2013-07-15
92.7,2013-07-16
90.5,2013-07-17
85.4,2013-07-18
85.8,2013-07-19
85.7,2013-07-20
85.5,2013-07-21
86.1,2013-07-22
86.9,2013-07-23
87.5,2013-07-24
89.4,2013-07-25
90.6,2013-07-26
89.1,2013-07-27
92.1,2013-07-28
93.3,2013-07-29
96.3,2013-07-30
97.9,2013-07-31
96.4,2013-08-01
97.2,2013-08-02
96.7,2013-08-03
96.6,2013-08-04
96.9,2013-08-05
97.1,2013-08-06
96.9,2013-08-07
94.8,2013-08-08
93.4,2013-08-09
93.3,2013-08-10
94.2,2013-08-11
95.1,2013-08-12
97.9,2013-08-13
98.0,2013-08-14
97.5,2013-08-15
98.3,2013-08-16
99.6,2013-08-17
98.8,2013-08-18
102.3,2013-08-19
105.0,2013-08-20
111.4,2013-08-21
109.7,2013-08-22
107.6,2013-08-23
108.7,2013-08-24
111.8,2013-08-25
112.2,2013-08-26
117.4,2013-08-27
117.6,2013-08-28
117.5,2013-08-29
123.2,2013-08-30
129.5,2013-08-31
128.3,2013-09-01
127.4,2013-09-02
127.6,2013-09-03
120.6,2013-09-04
120.5,2013-09-05
116.3,2013-09-06
119.1,2013-09-07
116.6,2013-09-08
120.0,2013-09-09
121.5,2013-09-10
125.4,2013-09-11
125.8,2013-09-12
126.5,2013-09-13
124.1,2013-09-14
124.6,2013-09-15
125.1,2013-09-16
126.0,2013-09-17
126.3,2013-09-18
124.2,2013-09-19
122.9,2013-09-20
122.6,2013-09-21
122.7,2013-09-22
122.2,2013-09-23
122.5,2013-09-24
123.4,2013-09-25
123.5,2013-09-26
123.5,2013-09-27
124.8,2013-09-28
125.2,2013-09-29
123.1,2013-09-30
125.5,2013-10-01
99.8,2013-10-02
116.8,2013-10-03
121.3,2013-10-04
121.1,2013-10-05
121.7,2013-10-06
123.2,2013-10-07
124.3,2013-10-08
125.8,2013-10-09
125.7,2013-10-10
125.5,2013-10-11
126.5,2013-10-12
130.4,2013-10-13
133.0,2013-10-14
138.6,2013-10-15
137.4,2013-10-16
142.7,2013-10-17
149.6,2013-10-18
159.8,2013-10-19
163.1,2013-10-20
174.2,2013-10-21
183.9,2013-10-22
200.6,2013-10-23
183.1,2013-10-24
178.1,2013-10-25
175.9,2013-10-26
185.7,2013-10-27
187.9,2013-10-28
198.2,2013-10-29
194.6,2013-10-30
198.2,2013-10-31
198.5,2013-11-01
200.9,2013-11-02
207.6,2013-11-03
225.2,2013-11-04
239.3,2013-11-05
253.7,2013-11-06
283.3,2013-11-07
323.8,2013-11-08
336.1,2013-11-09
311.9,2013-11-10
338.6,2013-11-11
350.2,2013-11-12
387.7,2013-11-13
418.0,2013-11-14
400.0,2013-11-15
435.3,2013-11-16
473.3,2013-11-17
585.2,2013-11-18
599.0,2013-11-19
550.0,2013-11-20
700.0,2013-11-21
760.0,2013-11-22
842.2,2013-11-23
813.7,2013-11-24
782.8,2013-11-25
849.6,2013-11-26
948.0,2013-11-27
1010.0,2013-11-28
1107.5,2013-11-29
1112.4,2013-11-30
955.0,2013-12-01
998.1,2013-12-02
1048.0,2013-12-03
1145.0,2013-12-04
1030.6,2013-12-05
872.6,2013-12-06
800.6,2013-12-07
730.0,2013-12-08
935.8,2013-12-09
1023.0,2013-12-10
921.8,2013-12-11
900.5,2013-12-12
912.6,2013-12-13
897.9,2013-12-14
864.9,2013-12-15
704.8,2013-12-16
731.9,2013-12-17
551.4,2013-12-18
702.0,2013-12-19
599.0,2013-12-20
607.7,2013-12-21
622.1,2013-12-22
640.4,2013-12-23
647.3,2013-12-24
740.0,2013-12-26
718.9,2013-12-27
701.0,2013-12-28
714.3,2013-12-29
737.2,2013-12-30
727.7,2013-12-31
740.3,2014-01-01
775.0,2014-01-02
812.1,2014-01-03
801.8,2014-01-04
904.0,2014-01-05
934.5,2014-01-06
791.0,2014-01-07
828.5,2014-01-08
850.0,2014-01-09
834.7,2014-01-10
896.9,2014-01-11
888.1,2014-01-12
818.4,2014-01-13
826.9,2014-01-14
839.7,2014-01-15
824.0,2014-01-16
789.0,2014-01-17
800.0,2014-01-18
830.0,2014-01-19
823.4,2014-01-20
810.0,2014-01-21
807.0,2014-01-22
816.2,2014-01-23
781.9,2014-01-24
810.0,2014-01-25
809.7,2014-01-26
760.3,2014-01-27
795.0,2014-01-28
800.0,2014-01-29
803.9,2014-01-30
800.0,2014-01-31
814.6,2014-02-01
810.0,2014-02-03
813.0,2014-02-04
791.0,2014-02-05
771.6,2014-02-06
720.0,2014-02-07
690.0,2014-02-08
710.0,2014-02-09
706.3,2014-02-10
658.9,2014-02-11
685.0,2014-02-12
634.3,2014-02-13
682.0,2014-02-14
653.4,2014-02-15
608.0,2014-02-16
663.8,2014-02-17
628.0,2014-02-18
630.4,2014-02-19
578.9,2014-02-20
568.0,2014-02-21
595.2,2014-02-22
619.0,2014-02-23
562.4,2014-02-24
515.0,2014-02-25
582.0,2014-02-26
579.0,2014-02-27
565.0,2014-02-28
568.2,2014-03-01
560.6,2014-03-02
658.0,2014-03-03
668.0,2014-03-04
675.0,2014-03-05
663.0,2014-03-06
621.0,2014-03-07
614.1,2014-03-08
621.0,2014-03-09
615.0,2014-03-10
615.0,2014-03-11
650.0,2014-03-12
642.0,2014-03-13
630.0,2014-03-14
641.6,2014-03-15
635.0,2014-03-16
624.3,2014-03-17
618.4,2014-03-18
611.0,2014-03-19
583.5,2014-03-20
568.8,2014-03-21
560.0,2014-03-22
566.2,2014-03-23
590.0,2014-03-24
582.0,2014-03-25
595.0,2014-03-26
498.5,2014-03-27
497.4,2014-03-28
491.9,2014-03-29
464.1,2014-03-30
452.0,2014-03-31
482.8,2014-04-01
443.3,2014-04-02
448.8,2014-04-03
450.0,2014-04-04
460.8,2014-04-05
453.7,2014-04-06
454.2,2014-04-07
448.8,2014-04-08
442.5,2014-04-09
370.0,2014-04-10
416.3,2014-04-11
415.0,2014-04-12
404.2,2014-04-13
459.0,2014-04-14
515.0,2014-04-15
522.3,2014-04-16
500.7,2014-04-17
490.5,2014-04-18
505.0,2014-04-19
512.5,2014-04-20
497.0,2014-04-21
488.0,2014-04-22
490.2,2014-04-23
497.5,2014-04-24
460.0,2014-04-25
459.0,2014-04-26
441.5,2014-04-27
448.0,2014-04-28
434.0,2014-04-29
448.3,2014-04-30
459.0,2014-05-01
453.5,2014-05-02
440.5,2014-05-03
430.9,2014-05-04
427.0,2014-05-05
430.0,2014-05-06
438.0,2014-05-07
442.8,2014-05-08
446.0,2014-05-09
451.1,2014-05-10
432.0,2014-05-11
440.0,2014-05-12
437.3,2014-05-13
444.0,2014-05-14
442.0,2014-05-15
442.3,2014-05-16
442.0,2014-05-17
438.8,2014-05-18
439.0,2014-05-19
476.0,2014-05-20
477.6,2014-05-21
502.3,2014-05-22
509.5,2014-05-23
502.3,2014-05-24
566.2,2014-05-25
575.0,2014-05-26
570.0,2014-05-27
577.0,2014-05-28
573.0,2014-05-29
629.0,2014-05-30
635.6,2014-05-31
646.5,2014-06-01
669.5,2014-06-02
682.9,2014-06-03
652.3,2014-06-04
663.3,2014-06-05
655.0,2014-06-06
663.0,2014-06-07
662.3,2014-06-08
653.7,2014-06-09
653.6,2014-06-10
637.1,2014-06-11
590.0,2014-06-12
582.6,2014-06-13
554.4,2014-06-14
571.0,2014-06-15
580.0,2014-06-16
614.3,2014-06-17
611.5,2014-06-18
602.0,2014-06-19
601.0,2014-06-20
601.6,2014-06-21
607.8,2014-06-22
599.3,2014-06-23
587.3,2014-06-24
568.1,2014-06-25
577.9,2014-06-26
606.2,2014-06-27
600.1,2014-06-28
603.7,2014-06-29
640.0,2014-06-30
650.8,2014-07-01
647.9,2014-07-02
643.6,2014-07-03
632.2,2014-07-04
630.0,2014-07-05
633.3,2014-07-06
624.0,2014-07-07
618.5,2014-07-08
620.2,2014-07-09
610.0,2014-07-10
625.5,2014-07-11
626.0,2014-07-12
624.0,2014-07-13
622.4,2014-07-14
620.9,2014-07-15
621.0,2014-07-16
627.6,2014-07-17
627.5,2014-07-18
625.3,2014-07-19
618.9,2014-07-20
619.8,2014-07-21
612.6,2014-07-22
617.2,2014-07-23
600.3,2014-07-24
598.0,2014-07-25
594.0,2014-07-26
590.5,2014-07-27
586.4,2014-07-28
575.0,2014-07-29
551.0,2014-07-30
579.0,2014-07-31
594.9,2014-08-01
587.8,2014-08-02
582.1,2014-08-03
581.1,2014-08-04
575.0,2014-08-05
577.5,2014-08-06
582.3,2014-08-07
586.4,2014-08-08
583.3,2014-08-09
580.0,2014-08-10
572.5,2014-08-11
566.0,2014-08-12
549.0,2014-08-13
510.0,2014-08-14
506.2,2014-08-15
527.2,2014-08-16
501.3,2014-08-17
478.2,2014-08-18
490.3,2014-08-19
517.0,2014-08-20
515.9,2014-08-21
515.6,2014-08-22
500.1,2014-08-23
507.3,2014-08-24
502.5,2014-08-25
508.4,2014-08-26
511.0,2014-08-27
507.8,2014-08-28
507.5,2014-08-29
499.0,2014-08-30
483.4,2014-08-31
485.8,2014-09-01
476.8,2014-09-02
474.0,2014-09-03
489.2,2014-09-04
477.6,2014-09-05
481.3,2014-09-06
479.7,2014-09-07
470.4,2014-09-08
472.7,2014-09-09
477.3,2014-09-10
477.1,2014-09-11
471.8,2014-09-12
478.1,2014-09-13
476.5,2014-09-14
469.9,2014-09-15
465.1,2014-09-16
456.8,2014-09-17
427.2,2014-09-18
395.3,2014-09-19
411.6,2014-09-20
400.7,2014-09-21
397.7,2014-09-22
429.1,2014-09-23
420.4,2014-09-24
409.1,2014-09-25
403.0,2014-09-26
397.3,2014-09-27
374.7,2014-09-28
369.6,2014-09-29
387.1,2014-09-30
383.0,2014-10-01
371.7,2014-10-02
357.7,2014-10-03
328.7,2014-10-04
322.5,2014-10-05
323.8,2014-10-06
331.0,2014-10-07
350.0,2014-10-08
363.5,2014-10-09
359.5,2014-10-10
361.3,2014-10-11
372.0,2014-10-12
383.4,2014-10-13
397.9,2014-10-14
393.5,2014-10-15
379.3,2014-10-16
380.3,2014-10-17
390.0,2014-10-18
386.3,2014-10-19
381.0,2014-10-20
382.8,2014-10-21
380.0,2014-10-22
356.0,2014-10-23
356.1,2014-10-24
347.4,2014-10-25
350.0,2014-10-26
350.6,2014-10-27
353.1,2014-10-28
333.2,2014-10-29
343.9,2014-10-30
337.0,2014-10-31
327.2,2014-11-01
322.5,2014-11-02
323.6,2014-11-03
326.9,2014-11-04
337.5,2014-11-05
348.5,2014-11-06
341.5,2014-11-07
345.0,2014-11-08
360.0,2014-11-09
368.0,2014-11-10
367.0,2014-11-11
417.9,2014-11-12
419.4,2014-11-13
399.1,2014-11-14
376.5,2014-11-15
388.2,2014-11-16
387.6,2014-11-17
370.0,2014-11-18
379.2,2014-11-19
355.9,2014-11-20
349.3,2014-11-21
346.4,2014-11-22
360.6,2014-11-23
373.2,2014-11-24
375.8,2014-11-25
367.9,2014-11-26
369.6,2014-11-27
375.6,2014-11-28
374.5,2014-11-29
376.7,2014-11-30
377.6,2014-12-01
382.0,2014-12-02
375.7,2014-12-03
370.3,2014-12-04
378.4,2014-12-05
372.8,2014-12-06
374.4,2014-12-07
363.3,2014-12-08
353.9,2014-12-09
346.9,2014-12-10
350.0,2014-12-11
352.8,2014-12-12
350.9,2014-12-13
352.7,2014-12-14
347.2,2014-12-15
330.6,2014-12-16
318.2,2014-12-17
308.3,2014-12-18
315.7,2014-12-19
329.1,2014-12-20
317.2,2014-12-21
329.0,2014-12-22
332.9,2014-12-23
322.8,2014-12-24
319.0,2014-12-25
328.5,2014-12-26
315.9,2014-12-27
317.5,2014-12-28
311.9,2014-12-29
308.8,2014-12-30
317.0,2014-12-31
313.9,2015-01-01
315.1,2015-01-02
282.0,2015-01-03
258.8,2015-01-04
273.2,2015-01-05
285.4,2015-01-06
297.0,2015-01-07
285.6,2015-01-08
292.8,2015-01-09
275.0,2015-01-10
266.2,2015-01-11
