date,Bitcoin
1/01/2010,0
2/01/2010,0
3/01/2010,0
4/01/2010,0
5/01/2010,0
6/01/2010,0
7/01/2010,0
8/01/2010,0
9/01/2010,0
10/01/2010,0
11/01/2010,0
12/01/2010,0
13/01/2010,0
14/01/2010,0
15/01/2010,0
16/01/2010,0
17/01/2010,0
18/01/2010,0
19/01/2010,0
20/01/2010,0
21/01/2010,0
22/01/2010,0
23/01/2010,0
24/01/2010,0
25/01/2010,0
26/01/2010,0
27/01/2010,0
28/01/2010,100
29/01/2010,0
30/01/2010,0
31/01/2010,0
1/02/2010,0
2/02/2010,0
3/02/2010,0
4/02/2010,0
5/02/2010,0
6/02/2010,0
7/02/2010,0
8/02/2010,0
9/02/2010,0
10/02/2010,0
11/02/2010,0
12/02/2010,0
13/02/2010,0
14/02/2010,0
15/02/2010,0
16/02/2010,100
17/02/2010,0
18/02/2010,99
19/02/2010,0
20/02/2010,0
21/02/2010,0
22/02/2010,0
23/02/2010,0
24/02/2010,0
25/02/2010,0
26/02/2010,0
27/02/2010,0
28/02/2010,0
1/03/2010,0
2/03/2010,0
3/03/2010,0
4/03/2010,0
5/03/2010,0
6/03/2010,0
7/03/2010,0
8/03/2010,0
9/03/2010,0
10/03/2010,0
11/03/2010,99
12/03/2010,0
13/03/2010,0
14/03/2010,0
15/03/2010,0
16/03/2010,0
17/03/2010,0
18/03/2010,100
19/03/2010,0
20/03/2010,0
21/03/2010,0
22/03/2010,0
23/03/2010,0
24/03/2010,0
25/03/2010,0
26/03/2010,0
27/03/2010,0
28/03/2010,0
29/03/2010,0
30/03/2010,0
31/03/2010,0
1/04/2010,0
2/04/2010,0
3/04/2010,0
4/04/2010,0
5/04/2010,0
6/04/2010,92
7/04/2010,0
8/04/2010,0
9/04/2010,100
10/04/2010,0
11/04/2010,0
12/04/2010,0
13/04/2010,0
14/04/2010,0
15/04/2010,94
16/04/2010,98
17/04/2010,0
18/04/2010,0
19/04/2010,0
20/04/2010,91
21/04/2010,0
22/04/2010,0
23/04/2010,0
24/04/2010,0
25/04/2010,0
26/04/2010,0
27/04/2010,91
28/04/2010,0
29/04/2010,0
30/04/2010,0
1/05/2010,0
2/05/2010,0
3/05/2010,0
4/05/2010,0
5/05/2010,0
6/05/2010,0
7/05/2010,0
8/05/2010,0
9/05/2010,100
10/05/2010,0
11/05/2010,0
12/05/2010,0
13/05/2010,0
14/05/2010,0
15/05/2010,51
16/05/2010,0
17/05/2010,37
18/05/2010,0
19/05/2010,0
20/05/2010,0
21/05/2010,0
22/05/2010,0
23/05/2010,0
24/05/2010,79
25/05/2010,76
26/05/2010,38
27/05/2010,0
28/05/2010,0
29/05/2010,0
30/05/2010,0
31/05/2010,40
1/06/2010,0
2/06/2010,72
3/06/2010,0
4/06/2010,78
5/06/2010,99
6/06/2010,0
7/06/2010,0
8/06/2010,0
9/06/2010,0
10/06/2010,73
11/06/2010,0
12/06/2010,0
13/06/2010,0
14/06/2010,0
15/06/2010,0
16/06/2010,73
17/06/2010,74
18/06/2010,78
19/06/2010,0
20/06/2010,0
21/06/2010,0
22/06/2010,0
23/06/2010,0
24/06/2010,0
25/06/2010,0
26/06/2010,100
27/06/2010,0
28/06/2010,72
29/06/2010,71
30/06/2010,0
1/07/2010,0
2/07/2010,0
3/07/2010,0
4/07/2010,0
5/07/2010,0
6/07/2010,8
7/07/2010,0
8/07/2010,0
9/07/2010,0
10/07/2010,0
11/07/2010,49
12/07/2010,100
13/07/2010,64
14/07/2010,29
15/07/2010,49
16/07/2010,26
