time,price
9/23/2018,6715.00
9/22/2018,6723.00
9/21/2018,6762.70
9/20/2018,6500.50
9/19/2018,6390.90
9/18/2018,6342.80
9/17/2018,6254.20
9/16/2018,6498.50
9/15/2018,6513.60
9/14/2018,6485.00
9/13/2018,6475.60
9/12/2018,6332.00
9/11/2018,6290.80
9/10/2018,6308.00
9/9/2018,6239.90
9/8/2018,6185.00
9/7/2018,6404.10
9/6/2018,6515.60
9/5/2018,6710.50
9/4/2018,7358.90
9/3/2018,7268.00
9/2/2018,7290.40
9/1/2018,7197.50
8/31/2018,7025.90
8/30/2018,6994.70
8/29/2018,7045.70
8/28/2018,7079.70
8/27/2018,6909.50
8/26/2018,6708.40
8/25/2018,6732.90
8/24/2018,6695.90
8/23/2018,6527.20
8/22/2018,6354.90
8/21/2018,6479.10
8/20/2018,6255.90
8/19/2018,6485.10
8/18/2018,6391.20
8/17/2018,6583.30
8/16/2018,6314.00
8/15/2018,6270.10
8/14/2018,6189.00
8/13/2018,6251.90
8/12/2018,6313.90
8/11/2018,6232.70
8/10/2018,6146.80
8/9/2018,6529.10
8/8/2018,6279.20
8/7/2018,6720.50
8/6/2018,6941.30
8/5/2018,7025.80
8/4/2018,7013.20
8/3/2018,7420.00
8/2/2018,7535.20
8/1/2018,7608.80
7/31/2018,7730.60
7/30/2018,8179.60
7/29/2018,8221.00
7/28/2018,8246.40
7/27/2018,8185.70
7/26/2018,7939.00
7/25/2018,8176.00
7/24/2018,8394.50
7/23/2018,7719.80
7/22/2018,7400.50
7/21/2018,7403.30
7/20/2018,7333.10
7/19/2018,7473.50
7/18/2018,7379.40
7/17/2018,7319.80
7/16/2018,6729.20
7/15/2018,6347.20
7/14/2018,6250.10
7/13/2018,6220.00
7/12/2018,6249.00
7/11/2018,6377.80
7/10/2018,6301.50
7/9/2018,6666.70
7/8/2018,6707.00
7/7/2018,6761.70
7/6/2018,6602.10
7/5/2018,6540.20
7/4/2018,6590.00
7/3/2018,6500.00
7/2/2018,6581.30
7/1/2018,6349.70
6/30/2018,6391.50
6/29/2018,6208.10
6/28/2018,5850.00
6/27/2018,6133.10
6/26/2018,6078.50
6/25/2018,6246.60
6/24/2018,6148.00
6/23/2018,6152.00
6/22/2018,6042.60
6/21/2018,6713.50
6/20/2018,6760.40
6/19/2018,6737.50
6/18/2018,6709.20
6/17/2018,6435.70
6/16/2018,6485.90
6/15/2018,6385.00
6/14/2018,6633.70
6/13/2018,6295.20
6/12/2018,6543.90
6/11/2018,6873.30
6/10/2018,6757.30
6/9/2018,7498.60
6/8/2018,7615.10
6/7/2018,7688.90
6/6/2018,7654.00
6/5/2018,7621.70
6/4/2018,7488.30
6/3/2018,7718.00
6/2/2018,7638.10
6/1/2018,7521.00
5/31/2018,7485.80
5/30/2018,7375.10
5/29/2018,7460.00
5/28/2018,7097.90
5/27/2018,7339.70
5/26/2018,7330.30
5/25/2018,7458.00
5/24/2018,7576.70
5/23/2018,7494.80
5/22/2018,7977.30
5/21/2018,8393.40
5/20/2018,8523.70
5/19/2018,8232.30
5/18/2018,8239.00
5/17/2018,8051.80
5/16/2018,8336.10
5/15/2018,8467.50
5/14/2018,8670.80
5/13/2018,8683.60
5/12/2018,8462.70
5/11/2018,8412.40
5/10/2018,9018.70
5/9/2018,9318.20
5/8/2018,9184.70
5/7/2018,9370.00
5/6/2018,9658.70
5/5/2018,9859.60
5/4/2018,9702.80
5/3/2018,9762.10
5/2/2018,9236.40
5/1/2018,9067.00
4/30/2018,9240.00
4/29/2018,9398.60
4/28/2018,9345.30
4/27/2018,8920.10
4/26/2018,9279.30
4/25/2018,8878.40
4/24/2018,9644.40
4/23/2018,8940.00
4/22/2018,8800.00
4/21/2018,8919.10
4/20/2018,8866.10
4/19/2018,8272.80
4/18/2018,8166.30
4/17/2018,7889.90
4/16/2018,8056.20
4/15/2018,8354.10
4/14/2018,8002.90
4/13/2018,7885.80
4/12/2018,7912.00
4/11/2018,6943.10
4/10/2018,6839.30
4/9/2018,6764.60
4/8/2018,7023.90
4/7/2018,6892.60
4/6/2018,6610.20
4/5/2018,6765.00
4/4/2018,6785.90
4/3/2018,7405.60
4/2/2018,7052.70
4/1/2018,6810.00
3/31/2018,6925.30
3/30/2018,6840.40
3/29/2018,7094.00
3/28/2018,7936.10
3/27/2018,7784.50
3/26/2018,8119.10
3/25/2018,8445.10
3/24/2018,8535.00
3/23/2018,8908.00
3/22/2018,8706.40
3/21/2018,8900.10
3/20/2018,8899.70
3/19/2018,8600.10
3/18/2018,8200.20
3/17/2018,7851.00
3/16/2018,8251.00
3/15/2018,8252.90
3/14/2018,8186.60
3/13/2018,9135.00
3/12/2018,9121.00
3/11/2018,9528.00
3/10/2018,8762.00
3/9/2018,9217.00
3/8/2018,9300.00
3/7/2018,9902.90
3/6/2018,10720.00
