time,price
2013-01-01,13.3
2013-01-02,13.3
2013-01-03,13.4
2013-01-04,13.5
2013-01-05,13.4
2013-01-06,13.4
2013-01-07,13.6
2013-01-08,13.7
2013-01-09,13.8
2013-01-10,14.1
2013-01-11,14.1
2013-01-12,14.2
2013-01-13,14.1
2013-01-14,14.3
2013-01-15,14.3
2013-01-16,14.7
2013-01-17,15.5
2013-01-18,15.7
2013-01-19,15.6
2013-01-20,15.7
2013-01-21,16.8
2013-01-22,17.3
2013-01-23,17.5
2013-01-24,16.9
2013-01-25,17.4
2013-01-26,17.9
2013-01-27,17.8
2013-01-28,18.7
2013-01-29,19.5
2013-01-30,19.7
2013-01-31,20.4
2013-02-01,20.5
2013-02-02,19.6
2013-02-03,20.6
2013-02-04,20.4
2013-02-05,20.6
2013-02-06,21.2
2013-02-07,22.1
2013-02-08,22.7
2013-02-09,23.6
2013-02-10,24.0
2013-02-11,24.6
2013-02-12,25.2
2013-02-13,24.2
2013-02-14,27.2
2013-02-15,27.1
2013-02-16,27.2
2013-02-17,26.8
2013-02-18,27.0
2013-02-19,29.4
2013-02-20,29.6
2013-02-21,29.8
2013-02-22,30.3
2013-02-23,29.8
2013-02-24,29.9
2013-02-25,30.4
2013-02-26,31.1
2013-02-27,30.9
2013-02-28,33.4
2013-03-01,34.5
2013-03-02,34.3
2013-03-03,34.5
2013-03-04,36.2
2013-03-05,40.3
2013-03-06,41.0
2013-03-07,42.0
2013-03-08,44.2
2013-03-09,46.8
2013-03-10,46.0
2013-03-11,48.4
2013-03-12,44.3
2013-03-13,46.9
2013-03-14,47.2
2013-03-15,47.0
2013-03-16,47.0
2013-03-17,47.4
2013-03-18,51.6
2013-03-19,59.1
2013-03-20,64.5
2013-03-21,70.8
2013-03-22,69.9
2013-03-23,64.3
2013-03-24,71.5
2013-03-25,73.6
2013-03-26,78.5
2013-03-27,88.9
2013-03-28,86.2
2013-03-29,90.5
2013-03-30,92.2
2013-03-31,93.0
2013-04-01,104.0
2013-04-02,118.0
2013-04-03,135.0
2013-04-04,132.1
2013-04-05,142.3
2013-04-06,142.6
2013-04-07,162.3
2013-04-08,187.5
2013-04-09,230.0
2013-04-10,165.0
2013-04-11,124.9
2013-04-12,117.0
2013-04-13,93.0
2013-04-14,90.0
2013-04-15,82.4
2013-04-16,68.4
2013-04-17,93.1
2013-04-18,109.0
2013-04-19,118.5
2013-04-20,126.6
2013-04-21,119.2
2013-04-22,127.4
2013-04-23,143.5
